idTweet,hashtag,hashtagBrut,indiceStart,indiceEnd
6.71749E+17,socionoel,SocioNoel,106,116
6.71978E+17,socionoel,SocioNoel,97,107
6.71977E+17,socionoel,SocioNoel,63,73
6.71976E+17,socionoel,SocioNoel,16,26
6.71976E+17,culturalstudies,culturalstudies,99,115
6.7165E+17,socionoel,SocioNoël,30,40
6.71975E+17,socionoel,SocioNoël,0,10
6.71975E+17,genre,genre,41,47
6.71974E+17,culture,culture,74,82
6.71974E+17,socionoel,SocioNoel,84,94
6.71974E+17,mustread,mustread,95,104
6.71974E+17,socionoel,SocioNoel,0,10
6.71972E+17,socionoel,SocioNoel,26,36
6.71971E+17,socionoel,SocioNoel,26,36
6.71969E+17,socionoel,SocioNoel,0,10
6.71968E+17,socionoel,SocioNoel,37,47
6.71967E+17,socionoel,SocioNoel,24,34
6.71967E+17,anthroponoel,anthroponoel,68,81
6.71968E+17,socionoel,SocioNoel,37,47
6.71968E+17,socionoel,SocioNoël,98,108
6.71968E+17,day2,Day2,109,114
6.71968E+17,socionoel,SocioNoel,0,10
6.71965E+17,socionoel,SocioNoel,0,10
6.71963E+17,socionoel,SocioNoël,0,10
6.71961E+17,socionoel,SocioNoel,47,57
6.71844E+17,socionoel,SocioNoel,38,48
6.71827E+17,socionoel,SocioNoel,13,23
6.71827E+17,excusesociologiques,excusesociologiques,88,108
6.71827E+17,valls,Valls,112,118
6.71793E+17,socionoel,SocioNoël,12,22
6.71764E+17,socionoel,SocioNoël,43,53
6.71753E+17,socionoel,SocioNoel,8,18
6.71742E+17,socionoel,SocioNoel,82,92
6.71954E+17,socionoel,SocioNoel,0,10
6.71954E+17,socionoel,SocioNoel,76,86
6.71935E+17,socionoel,SocioNoel,63,73
6.71829E+17,socionoel,SocioNoël,2,12
6.71825E+17,socionoel,SocioNoel,15,25
6.71821E+17,socionoel,SocioNoel,119,129
6.71811E+17,socionoel,SocioNoel,99,109
6.7181E+17,socionoel,socionoel,46,56
6.71796E+17,socionoel,SocioNoel,0,10
6.71784E+17,socionoel,SocioNoel,52,62
6.71784E+17,anthroponoel,AnthropoNoel,85,98
6.71783E+17,socionoel,SocioNoel,128,138
6.71774E+17,socionoel,SocioNoel,81,91
6.71766E+17,socionoel,SocioNoel,0,10
6.71766E+17,socionoel,socionoel,14,24
6.71766E+17,socionoel,SocioNoel,0,10
6.71755E+17,socionoel,SocioNoel,16,26
6.71748E+17,socionoel,socionoël,27,37
6.71746E+17,socionoel,SocioNoel,41,51
6.71746E+17,dauphins,dauphins,52,61
6.71746E+17,tumetonnequepbnapaseusuccesenitalie,tumetonnequePBnapaseusuccesenItalie,62,98
6.71746E+17,reception,reception,99,109
6.71746E+17,socionoel,socionoel,0,10
6.71746E+17,socionoel,socionoel,0,10
6.71745E+17,socionoel,SocioNoel,43,53
6.71745E+17,l1staps,L1Staps,101,109
6.71744E+17,socionoel,SocioNoel,0,10
6.71743E+17,socionoel,SocioNoel,0,10
6.71742E+17,socionoel,SocioNoel,0,10
6.71742E+17,socionoel,SocioNoel,0,10
6.71742E+17,socionoel,SocioNoel,59,69
6.71742E+17,socionoel,SocioNoel,0,10
6.71742E+17,socionoel,SocioNoel,46,56
