_id,idTweet,idUser,text,createdAt,url,source,lang,nbRetweet,nbFavorites
660485fa26e6dce239866a0b,680738188755886082,158342368,Después de una campaña hay que desintoxicarse. Nada mejor que Don Gregorio Morán. Nunca fue tan actual este libro https://t.co/9hSH48Idbz,26/12/15,https://twitter.com/Pablo_Iglesias_/status/680738188755886082,Twitter for iPhone,es,909,1737
660485fa26e6dce239866b86,677772904159907840,1132342340,"3,8 millions de mal-logés en France. Peut-on encore recevoir les soi-disant ""#migrants"" ? https://t.co/kJ1zMq2MSB",18/12/15,https://twitter.com/RobertMenardFR/status/677772904159907840,Twitter Web Client,fr,210,117
660485fa26e6dce239866a05,684105672758267906,92564226,Le marché du livre renoue avec la croissance https://t.co/MPzLC2bxRs https://t.co/lD15S7OnBm,04/01/16,https://twitter.com/LesEchos/status/684105672758267906,SocialFlow,fr,89,37
660485fa26e6dce239866bbc,671617680080814080,117345550,"So, let's begin. Le bouquin que vous devriez lire en ce moment, c'est évidemment La Grande Transformation de Karl Polanyi #socionoel",01/12/15,https://twitter.com/Uneheuredepeine/status/671617680080814080,TweetDeck,fr,8,35
660485fa26e6dce239866b82,671964593607036928,500131988,#SocioNoel J-2  La base !!!!!! Un peu complexe mais super instructif. https://t.co/J0gc6oUpTi,02/12/15,https://twitter.com/ThisisKiyemis/status/671964593607036928,Twitter for Android,fr,8,34
660485fa26e6dce23986699d,671702535569321984,848950321,"[A paraître - janvier 2016] ""Pour la sociologie"" de Bernard Lahire https://t.co/EApiAXCQPL https://t.co/tRLria4sVB",01/12/15,https://twitter.com/Ed_LaDecouverte/status/671702535569321984,TweetDeck,fr,33,30
660485fa26e6dce239866b6a,671988678533750784,3351049198,"Je suis trop jalouse de votre #SocioNoel alors je lance, seule, mon calendrier de l'avent d'historienne de l'art, en postant une oeuvre/jour",02/12/15,https://twitter.com/sophie_pallas/status/671988678533750784,Twitter Web Client,fr,9,28
660485fa26e6dce239866c63,674940253506035716,4267764334,"#SocioNoel Pas très original, mais c'est ce livre qui m'a donné envie de devenir sociologue https://t.co/UvJSHfICIV",10/12/15,https://twitter.com/Gerome_Truc/status/674940253506035716,Twitter Web Client,fr,13,26
660485fa26e6dce239866bc3,671593708479975424,217210001,"#SocioNoel J1, livre sympa et accessible. Des étudiants en socio de St Denis enquêtent dans le 8ème arrondissement. https://t.co/r9eI9sxvA6",01/12/15,https://twitter.com/Lil_RoXaNe/status/671593708479975424,Twitter for Android,fr,20,26
660485fa26e6dce239866ba3,671396742047399937,898433816,ET VOILA https://t.co/nsCI6tQxg9,30/11/15,https://twitter.com/CobbleAndFrame/status/671396742047399937,Twitter Web Client,fr,28,22
